tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,89.927,23.972,0.493,49.162
B-tree,2,95.780,25.136,0.489,44.468
B-tree,3,93.269,23.449,0.494,44.342
B-tree,4,94.293,21.464,0.498,48.435
B-tree,5,94.308,23.101,0.494,44.926
B-tree,6,91.478,21.509,0.460,43.020
B-tree,7,88.991,22.362,0.530,40.017
B-tree,8,86.902,20.457,0.496,42.021
B-tree,9,91.520,20.607,0.431,42.785
B-tree,10,93.369,21.718,0.458,41.003
B+-tree,1,93.213,23.179,0.482,45.654
B+-tree,2,93.248,21.906,0.430,41.305
B+-tree,3,92.407,21.644,0.441,41.079
B+-tree,4,86.742,22.028,0.439,41.882
B+-tree,5,129.087,34.980,0.562,62.795
B+-tree,6,109.709,25.109,0.519,46.455
B+-tree,7,94.836,21.712,0.434,39.248
B+-tree,8,87.721,21.048,0.424,39.315
B+-tree,9,87.567,20.944,0.423,38.874
B+-tree,10,95.225,24.875,0.468,39.869
B*-tree,1,318.994,23.366,0.460,36.648
B*-tree,2,247.808,22.804,0.548,35.098
B*-tree,3,229.397,22.466,0.510,33.349
B*-tree,4,228.956,20.959,0.456,33.245
B*-tree,5,239.346,32.993,0.487,41.620
B*-tree,6,254.101,22.981,0.491,34.231
B*-tree,7,212.072,21.364,0.473,30.579
B*-tree,8,211.814,23.614,0.504,38.101
B*-tree,9,207.130,22.407,0.478,33.059
B*-tree,10,201.797,23.654,0.469,34.640
