tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,2.180,12.506,0.379,8.345
B-tree,2,2.504,12.282,0.342,6.424
B-tree,3,2.289,11.261,0.309,5.782
B-tree,4,2.224,13.657,0.324,5.573
B-tree,5,2.151,10.212,0.350,5.430
B-tree,6,2.250,12.883,0.353,5.533
B-tree,7,2.213,11.497,0.331,6.573
B-tree,8,2.482,12.923,0.305,10.676
B-tree,9,2.170,11.808,0.323,5.531
B-tree,10,2.140,11.673,0.307,5.431
B-tree,11,2.501,9.772,0.301,5.430
B-tree,12,2.193,11.573,0.383,5.739
B-tree,13,2.173,11.807,0.292,5.579
B-tree,14,2.182,12.743,0.344,6.430
B-tree,15,3.375,12.069,0.329,6.735
B-tree,16,2.247,12.148,0.305,6.564
B-tree,17,3.375,11.175,0.337,8.914
B-tree,18,3.518,12.986,0.649,7.235
B-tree,19,2.323,14.720,0.471,7.290
B-tree,20,2.162,14.743,0.344,5.951
B+-tree,1,2.192,11.187,0.331,8.139
B+-tree,2,2.105,13.076,0.422,5.546
B+-tree,3,2.159,21.615,1.408,9.909
B+-tree,4,2.124,21.182,0.380,14.952
B+-tree,5,2.479,21.205,0.370,5.675
B+-tree,6,2.124,19.440,0.354,16.689
B+-tree,7,2.130,17.515,0.376,6.177
B+-tree,8,2.857,10.470,0.266,5.794
B+-tree,9,2.386,11.310,0.348,5.616
B+-tree,10,2.196,10.338,0.330,5.572
B+-tree,11,2.892,11.641,0.300,5.447
B+-tree,12,2.630,10.452,0.513,6.095
B+-tree,13,2.659,11.868,0.297,5.347
B+-tree,14,2.786,11.557,0.324,5.430
B+-tree,15,2.211,11.881,0.350,5.533
B+-tree,16,2.130,10.838,0.310,5.317
B+-tree,17,2.240,12.144,0.358,5.397
B+-tree,18,2.197,11.154,0.298,5.509
B+-tree,19,2.839,10.750,0.317,6.209
B+-tree,20,2.460,10.851,0.392,5.475
B*-tree,1,6.559,12.400,0.364,9.545
B*-tree,2,5.565,16.725,0.354,4.990
B*-tree,3,5.516,13.219,0.341,6.494
B*-tree,4,5.271,12.952,0.339,4.985
B*-tree,5,5.063,13.989,0.367,5.574
B*-tree,6,5.080,13.961,0.344,5.492
B*-tree,7,6.356,12.377,0.318,5.780
B*-tree,8,5.558,12.413,0.319,4.959
B*-tree,9,5.344,14.603,0.365,5.086
B*-tree,10,6.634,12.242,0.330,6.423
B*-tree,11,6.489,18.285,0.482,5.132
B*-tree,12,5.296,14.503,0.306,5.981
B*-tree,13,5.067,15.383,0.335,5.844
B*-tree,14,6.693,15.776,0.390,5.342
B*-tree,15,5.504,12.771,0.333,5.845
B*-tree,16,6.904,14.193,0.358,7.293
B*-tree,17,6.172,14.702,0.449,5.199
B*-tree,18,5.173,17.113,0.405,5.857
B*-tree,19,5.884,13.413,0.383,6.535
B*-tree,20,5.154,15.643,0.342,5.075
