tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,2.721,13.183,0.501,10.839
B-tree,2,2.321,9.874,0.525,8.123
B-tree,3,4.422,22.415,0.543,22.465
B-tree,4,2.855,16.657,0.440,8.450
B-tree,5,2.607,10.252,0.529,8.360
B-tree,6,2.868,11.239,0.456,7.818
B-tree,7,2.226,19.428,0.362,12.118
B-tree,8,2.482,13.179,0.491,9.381
B-tree,9,5.713,14.998,0.652,10.570
B-tree,10,7.054,15.921,0.402,11.538
B-tree,11,2.500,14.192,0.493,10.052
B-tree,12,2.230,11.627,0.666,12.674
B-tree,13,3.372,13.790,0.531,8.218
B-tree,14,2.190,15.271,2.959,19.562
B-tree,15,12.232,18.661,0.478,18.949
B-tree,16,2.304,16.864,0.472,8.158
B-tree,17,3.409,14.233,0.559,13.436
B-tree,18,2.383,11.942,0.457,10.711
B-tree,19,2.456,15.084,0.440,12.422
B-tree,20,2.311,9.894,0.379,7.726
B+-tree,1,9.803,25.022,3.790,11.350
B+-tree,2,12.700,24.329,0.875,18.848
B+-tree,3,3.760,36.883,0.691,11.374
B+-tree,4,4.297,23.467,0.548,11.760
B+-tree,5,3.340,13.713,1.157,8.582
B+-tree,6,3.443,15.681,1.639,10.702
B+-tree,7,2.736,13.982,0.535,12.138
B+-tree,8,3.641,15.031,0.630,12.730
B+-tree,9,4.633,14.751,0.516,8.473
B+-tree,10,7.332,18.026,0.719,8.864
B+-tree,11,2.883,12.973,0.456,9.240
B+-tree,12,5.589,16.990,0.698,8.171
B+-tree,13,3.128,15.040,0.567,10.532
B+-tree,14,2.954,16.561,0.589,8.411
B+-tree,15,2.742,15.025,0.677,9.387
B+-tree,16,4.206,17.275,0.533,10.127
B+-tree,17,2.897,13.556,0.541,8.887
B+-tree,18,4.032,13.747,0.567,9.427
B+-tree,19,5.201,13.267,0.513,7.671
B+-tree,20,2.994,15.424,0.563,9.004
B*-tree,1,8.403,11.972,0.498,9.073
B*-tree,2,8.916,15.240,0.602,10.116
B*-tree,3,6.756,13.841,0.606,7.757
B*-tree,4,9.570,13.229,0.611,9.997
B*-tree,5,7.024,13.404,0.655,8.867
B*-tree,6,7.311,13.266,0.681,8.353
B*-tree,7,7.109,12.307,0.623,9.437
B*-tree,8,7.659,13.603,0.877,13.901
B*-tree,9,7.555,12.950,0.513,16.009
B*-tree,10,7.698,15.469,0.886,10.264
B*-tree,11,7.189,21.695,0.826,11.638
B*-tree,12,7.802,16.160,0.515,17.298
B*-tree,13,7.739,19.333,0.725,11.291
B*-tree,14,7.774,19.987,0.694,12.600
B*-tree,15,8.179,14.143,0.726,14.020
B*-tree,16,7.671,14.282,0.603,9.911
B*-tree,17,9.198,17.379,0.642,8.917
B*-tree,18,7.871,13.361,0.503,9.855
B*-tree,19,8.641,13.629,0.804,9.773
B*-tree,20,7.212,13.862,0.596,7.923
