tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,41.989,102.953,4.556,53.178
B-tree,2,42.114,95.846,4.940,53.512
B-tree,3,35.572,98.158,6.626,62.958
B-tree,4,37.550,103.819,5.397,56.476
B-tree,5,36.133,101.939,4.741,63.779
B-tree,6,40.530,114.337,4.844,64.034
B-tree,7,43.617,101.855,8.985,53.335
B-tree,8,47.349,103.889,5.272,55.628
B-tree,9,41.871,96.815,6.100,95.223
B-tree,10,76.279,149.117,6.772,52.561
B-tree,11,40.066,104.567,5.712,53.862
B-tree,12,38.324,103.330,7.515,57.671
B-tree,13,44.906,106.368,9.785,56.292
B-tree,14,40.923,108.218,6.093,53.258
B-tree,15,39.733,92.535,5.741,59.720
B-tree,16,37.431,101.043,4.994,58.812
B-tree,17,41.233,96.615,7.135,54.089
B-tree,18,42.312,93.288,4.925,58.590
B-tree,19,41.643,108.397,9.002,76.599
B-tree,20,57.211,114.274,4.534,56.568
B+-tree,1,86.621,189.616,9.518,98.994
B+-tree,2,88.307,242.310,10.330,151.677
B+-tree,3,87.289,159.977,9.663,97.754
B+-tree,4,80.286,163.047,10.511,94.023
B+-tree,5,86.518,154.179,9.749,91.200
B+-tree,6,88.002,151.639,12.263,94.519
B+-tree,7,83.413,209.326,11.116,119.483
B+-tree,8,95.311,169.461,10.218,96.849
B+-tree,9,80.319,153.584,8.452,88.168
B+-tree,10,77.766,153.894,11.291,87.438
B+-tree,11,87.021,175.689,9.435,102.406
B+-tree,12,91.842,211.463,13.640,92.232
B+-tree,13,82.343,166.247,9.424,94.085
B+-tree,14,90.457,151.939,10.101,95.991
B+-tree,15,89.713,149.038,9.976,100.292
B+-tree,16,93.130,159.622,9.125,95.319
B+-tree,17,89.402,248.921,12.929,90.092
B+-tree,18,93.148,316.669,11.904,100.691
B+-tree,19,82.247,195.701,11.086,93.404
B+-tree,20,93.658,152.372,9.180,90.446
B*-tree,1,61.644,109.138,8.342,70.218
B*-tree,2,78.975,111.905,6.099,58.018
B*-tree,3,67.555,134.836,10.637,71.768
B*-tree,4,70.166,123.097,6.355,57.846
B*-tree,5,66.311,108.706,6.947,60.629
B*-tree,6,93.486,139.441,9.176,60.192
B*-tree,7,65.310,113.061,7.772,54.251
B*-tree,8,65.572,101.193,6.382,57.416
B*-tree,9,63.173,101.159,8.241,53.311
B*-tree,10,65.258,114.046,10.159,63.718
B*-tree,11,72.411,170.158,6.503,58.233
B*-tree,12,69.833,109.118,8.891,77.841
B*-tree,13,70.196,103.752,8.933,106.021
B*-tree,14,91.955,121.486,10.519,51.444
B*-tree,15,66.433,137.999,9.934,66.865
B*-tree,16,73.937,113.474,8.991,60.808
B*-tree,17,67.267,105.627,9.168,59.510
B*-tree,18,84.270,116.496,8.476,54.070
B*-tree,19,64.541,105.409,7.570,57.443
B*-tree,20,67.437,105.328,8.556,55.362
