tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,1.807,9.457,0.354,8.437
B-tree,2,1.864,10.186,0.452,7.139
B-tree,3,1.755,9.683,0.416,8.529
B-tree,4,1.732,12.146,0.378,5.865
B-tree,5,2.597,12.245,0.428,7.595
B-tree,6,2.980,12.977,0.585,8.867
B-tree,7,2.226,13.429,0.389,6.054
B-tree,8,2.699,13.099,0.408,6.326
B-tree,9,3.065,20.515,0.973,8.294
B-tree,10,4.217,14.095,2.730,10.487
B-tree,11,1.803,17.269,0.573,15.057
B-tree,12,1.762,18.795,0.387,8.074
B-tree,13,3.390,12.130,0.364,7.941
B-tree,14,2.027,9.377,0.412,6.239
B-tree,15,1.753,9.788,0.394,5.767
B-tree,16,1.850,9.178,0.370,5.853
B-tree,17,2.147,11.012,0.426,5.931
B-tree,18,2.875,9.542,0.466,6.027
B-tree,19,1.792,10.815,0.362,5.877
B-tree,20,2.065,9.541,0.354,6.293
B+-tree,1,2.613,10.761,1.652,7.308
B+-tree,2,2.127,10.994,0.464,7.373
B+-tree,3,2.508,10.232,0.826,5.730
B+-tree,4,1.962,13.978,0.458,5.579
B+-tree,5,2.150,11.265,0.528,5.549
B+-tree,6,3.222,10.928,0.497,5.593
B+-tree,7,2.170,12.222,0.546,5.676
B+-tree,8,2.008,12.119,0.471,6.501
B+-tree,9,2.570,10.195,0.478,5.727
B+-tree,10,2.293,11.175,0.445,6.647
B+-tree,11,3.055,10.787,0.496,6.549
B+-tree,12,2.588,11.624,0.478,5.941
B+-tree,13,2.195,14.344,0.457,5.944
B+-tree,14,2.542,10.717,0.406,6.541
B+-tree,15,2.948,12.510,0.490,6.367
B+-tree,16,2.144,16.470,0.513,5.591
B+-tree,17,2.152,11.451,0.443,5.519
B+-tree,18,1.945,12.362,0.553,5.803
B+-tree,19,2.999,11.039,0.421,5.455
B+-tree,20,2.546,14.676,0.456,5.924
B*-tree,1,5.477,13.119,0.548,7.941
B*-tree,2,5.527,11.699,0.718,6.973
B*-tree,3,6.706,12.500,0.458,6.485
B*-tree,4,5.433,14.236,0.512,6.466
B*-tree,5,6.019,12.774,0.519,6.304
B*-tree,6,5.478,12.032,0.550,6.334
B*-tree,7,6.158,11.659,0.434,7.392
B*-tree,8,6.860,12.812,0.446,6.205
B*-tree,9,5.916,11.022,0.503,6.082
B*-tree,10,5.845,12.231,0.620,7.483
B*-tree,11,5.487,13.519,0.496,6.690
B*-tree,12,5.439,10.581,0.537,6.838
B*-tree,13,5.796,11.486,0.466,5.900
B*-tree,14,6.888,11.445,0.473,9.478
B*-tree,15,5.910,17.676,0.538,6.088
B*-tree,16,9.092,14.937,0.655,9.511
B*-tree,17,5.947,15.756,0.451,11.393
B*-tree,18,5.237,13.446,0.509,6.244
B*-tree,19,6.166,11.030,1.042,8.522
B*-tree,20,5.519,10.958,0.537,6.196
