tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,1.703,10.468,0.329,7.376
B-tree,2,1.759,9.521,0.353,6.128
B-tree,3,1.639,9.348,0.311,7.912
B-tree,4,1.680,10.447,0.320,4.828
B-tree,5,1.846,8.941,0.313,5.198
B-tree,6,2.477,9.939,0.370,6.714
B-tree,7,1.709,10.110,0.391,4.897
B-tree,8,2.327,13.901,0.357,11.373
B-tree,9,2.164,14.186,0.327,5.080
B-tree,10,1.920,18.655,0.388,8.750
B-tree,11,1.774,9.560,0.642,5.667
B-tree,12,3.464,9.556,0.422,12.466
B-tree,13,1.684,9.465,0.399,13.880
B-tree,14,1.757,16.542,0.343,14.526
B-tree,15,1.596,17.318,0.387,4.897
B-tree,16,1.617,19.569,0.345,9.531
B-tree,17,3.545,9.192,0.349,4.836
B-tree,18,1.597,10.002,0.357,5.140
B-tree,19,1.663,8.999,0.332,5.054
B-tree,20,1.696,11.572,0.328,5.147
B+-tree,1,1.937,11.221,0.433,6.071
B+-tree,2,1.974,12.035,0.421,9.918
B+-tree,3,2.226,17.185,0.573,4.951
B+-tree,4,2.399,14.660,0.357,5.261
B+-tree,5,2.403,11.058,0.498,6.675
B+-tree,6,2.520,11.122,0.973,7.151
B+-tree,7,2.187,10.646,0.398,5.071
B+-tree,8,2.206,11.614,2.614,6.466
B+-tree,9,2.066,9.630,0.399,5.901
B+-tree,10,2.271,16.807,0.391,6.431
B+-tree,11,2.318,18.907,0.395,5.186
B+-tree,12,2.350,13.146,0.868,8.225
B+-tree,13,2.091,12.491,1.301,5.842
B+-tree,14,1.987,17.072,0.408,4.857
B+-tree,15,2.201,11.863,0.568,5.596
B+-tree,16,2.209,12.311,0.434,4.962
B+-tree,17,2.708,13.402,0.415,5.438
B+-tree,18,2.079,17.515,0.409,5.664
B+-tree,19,2.292,10.978,0.359,5.005
B+-tree,20,2.021,13.149,0.641,6.118
B*-tree,1,4.580,18.708,0.399,5.993
B*-tree,2,4.648,30.409,0.436,4.962
B*-tree,3,9.644,12.159,0.351,5.322
B*-tree,4,4.582,13.232,0.364,4.293
B*-tree,5,4.706,10.692,0.392,4.463
B*-tree,6,5.611,9.364,0.342,4.391
B*-tree,7,5.725,13.059,0.355,4.934
B*-tree,8,4.720,11.898,0.400,7.709
B*-tree,9,4.719,10.557,0.358,4.909
B*-tree,10,4.906,10.611,0.346,4.865
B*-tree,11,4.893,11.721,0.377,4.992
B*-tree,12,4.713,10.723,0.329,4.602
B*-tree,13,5.282,11.146,0.360,4.798
B*-tree,14,4.646,11.504,0.382,5.944
B*-tree,15,6.849,13.770,0.358,4.459
B*-tree,16,4.532,10.875,0.338,4.443
B*-tree,17,5.058,11.316,0.374,5.180
B*-tree,18,4.731,10.075,0.356,4.614
B*-tree,19,4.510,12.840,0.390,4.573
B*-tree,20,5.457,10.471,0.766,7.055
