tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,1.797,13.202,0.340,6.347
B-tree,2,1.836,10.532,0.296,4.732
B-tree,3,1.778,12.598,0.350,5.135
B-tree,4,1.729,13.850,0.365,4.749
B-tree,5,3.202,9.119,0.325,4.947
B-tree,6,1.740,14.640,0.516,5.082
B-tree,7,1.844,15.751,0.328,5.198
B-tree,8,1.770,10.547,0.344,4.884
B-tree,9,1.780,10.596,0.305,5.021
B-tree,10,1.723,10.655,0.626,6.287
B-tree,11,1.661,12.760,0.517,7.473
B-tree,12,1.748,17.091,0.337,4.815
B-tree,13,1.928,17.677,0.345,15.544
B-tree,14,1.774,18.385,0.324,5.177
B-tree,15,1.768,19.610,0.858,10.672
B-tree,16,1.997,17.187,0.337,4.728
B-tree,17,2.920,16.898,7.875,7.483
B-tree,18,1.702,20.678,0.335,13.380
B-tree,19,2.028,17.421,0.385,4.826
B-tree,20,1.797,19.483,0.334,6.304
B+-tree,1,1.595,19.980,0.321,12.703
B+-tree,2,1.650,12.117,0.314,5.129
B+-tree,3,1.665,10.340,0.294,5.022
B+-tree,4,1.658,10.558,0.338,4.644
B+-tree,5,1.679,8.275,0.277,8.422
B+-tree,6,2.305,9.475,0.383,4.501
B+-tree,7,1.751,11.140,0.375,8.852
B+-tree,8,1.585,8.708,0.280,6.113
B+-tree,9,2.722,9.448,0.320,5.014
B+-tree,10,1.681,8.932,0.377,4.762
B+-tree,11,2.703,10.612,0.298,4.622
B+-tree,12,1.637,9.690,0.347,5.090
B+-tree,13,1.658,10.381,0.358,4.488
B+-tree,14,1.841,9.711,0.512,4.450
B+-tree,15,1.882,10.226,0.490,4.430
B+-tree,16,1.675,9.394,0.302,5.223
B+-tree,17,1.752,11.015,0.315,4.584
B+-tree,18,1.815,8.997,0.339,4.736
B+-tree,19,1.671,9.830,0.292,4.456
B+-tree,20,1.948,9.623,0.333,4.876
B*-tree,1,4.894,11.937,0.422,5.876
B*-tree,2,6.478,13.544,0.707,7.555
B*-tree,3,4.718,16.681,0.458,4.374
B*-tree,4,5.383,12.005,0.346,7.106
B*-tree,5,8.105,11.563,0.526,5.646
B*-tree,6,5.383,11.120,0.385,10.013
B*-tree,7,5.308,16.849,0.444,10.520
B*-tree,8,4.584,14.200,0.443,4.298
B*-tree,9,4.686,16.605,0.344,9.427
B*-tree,10,5.320,13.185,0.763,7.350
B*-tree,11,4.564,17.465,0.524,4.239
B*-tree,12,11.918,15.410,0.594,5.124
B*-tree,13,5.258,21.342,0.393,5.845
B*-tree,14,6.801,12.292,0.327,5.238
B*-tree,15,4.563,19.643,0.353,4.949
B*-tree,16,5.961,15.184,0.350,4.234
B*-tree,17,4.969,9.863,0.313,4.261
B*-tree,18,5.622,11.378,0.370,4.840
B*-tree,19,5.371,11.910,0.367,4.877
B*-tree,20,5.014,10.865,0.460,4.621
