tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,2.096,10.162,0.337,6.255
B-tree,2,1.624,9.801,0.351,4.859
B-tree,3,1.991,9.351,0.497,4.594
B-tree,4,1.666,10.890,0.441,5.448
B-tree,5,1.685,10.428,0.332,5.040
B-tree,6,1.678,10.366,0.531,5.129
B-tree,7,1.620,11.060,0.333,4.790
B-tree,8,1.657,9.114,0.309,6.733
B-tree,9,1.710,9.553,0.328,5.942
B-tree,10,1.661,11.713,0.444,6.059
B-tree,11,1.763,10.592,0.329,6.542
B-tree,12,1.687,11.088,0.370,5.545
B-tree,13,1.930,12.154,0.452,5.380
B-tree,14,1.700,9.308,0.330,4.868
B-tree,15,2.309,11.313,0.346,4.781
B-tree,16,1.977,10.879,0.332,4.837
B-tree,17,3.448,10.393,0.328,5.601
B-tree,18,1.732,12.229,0.352,5.207
B-tree,19,1.701,12.884,0.344,8.318
B-tree,20,3.599,9.528,0.378,12.929
B+-tree,1,1.810,10.129,1.180,6.249
B+-tree,2,1.654,12.533,0.347,5.643
B+-tree,3,1.652,14.097,0.322,6.393
B+-tree,4,1.664,12.427,0.366,4.611
B+-tree,5,1.639,11.578,0.326,5.192
B+-tree,6,1.593,13.738,0.346,4.731
B+-tree,7,1.995,10.502,0.393,5.153
B+-tree,8,1.621,9.468,0.394,4.555
B+-tree,9,1.979,13.168,0.323,4.842
B+-tree,10,1.711,9.766,0.359,6.208
B+-tree,11,1.638,9.035,0.300,5.657
B+-tree,12,2.757,11.505,0.368,5.511
B+-tree,13,1.712,10.869,0.369,4.541
B+-tree,14,1.664,10.146,0.410,4.425
B+-tree,15,1.701,10.370,0.355,4.726
B+-tree,16,1.639,12.896,0.343,4.533
B+-tree,17,1.640,10.446,0.380,5.086
B+-tree,18,1.716,8.818,0.306,4.333
B+-tree,19,2.640,9.671,0.352,5.166
B+-tree,20,2.909,8.597,0.305,4.457
B*-tree,1,4.769,11.454,0.386,5.339
B*-tree,2,5.498,12.868,0.441,4.472
B*-tree,3,5.312,11.776,0.327,4.137
B*-tree,4,7.797,10.397,0.379,4.361
B*-tree,5,5.984,12.292,0.412,6.458
B*-tree,6,5.001,13.301,0.430,4.178
B*-tree,7,5.017,10.130,0.326,4.191
B*-tree,8,4.978,11.062,0.390,4.747
B*-tree,9,5.071,11.116,0.317,4.342
B*-tree,10,4.879,12.291,0.383,4.207
B*-tree,11,5.361,10.809,0.342,4.908
B*-tree,12,6.693,12.318,0.362,4.177
B*-tree,13,5.565,10.726,0.344,4.082
B*-tree,14,9.134,9.898,0.337,5.784
B*-tree,15,4.874,12.585,0.385,6.097
B*-tree,16,5.201,10.204,0.315,4.633
B*-tree,17,4.852,12.338,0.348,4.148
B*-tree,18,4.856,13.168,0.365,4.259
B*-tree,19,5.045,9.350,0.310,4.056
B*-tree,20,4.787,11.354,0.372,4.059
