tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,48.916,95.247,5.384,48.653
B-tree,2,49.556,92.453,9.929,45.797
B-tree,3,51.755,89.077,4.917,45.202
B-tree,4,53.331,97.149,4.623,44.182
B-tree,5,67.914,138.104,6.244,45.023
B-tree,6,53.517,93.934,4.864,40.794
B-tree,7,52.289,95.459,5.006,50.580
B-tree,8,52.111,96.569,6.767,41.184
B-tree,9,47.547,125.641,6.966,42.019
B-tree,10,46.355,95.365,5.704,42.373
B-tree,11,53.015,96.242,5.524,49.435
B-tree,12,47.784,104.865,6.036,44.149
B-tree,13,53.914,94.615,5.922,47.476
B-tree,14,48.714,101.589,4.736,65.180
B-tree,15,75.562,107.489,6.605,50.256
B-tree,16,55.246,99.491,5.561,41.610
B-tree,17,50.381,94.810,5.567,41.489
B-tree,18,52.029,101.485,6.863,46.311
B-tree,19,51.103,106.087,9.736,44.217
B-tree,20,51.840,99.112,6.065,39.828
B+-tree,1,44.071,124.435,3.673,64.188
B+-tree,2,44.671,108.808,3.695,39.623
B+-tree,3,42.885,109.320,4.972,38.751
B+-tree,4,47.546,106.703,3.175,38.360
B+-tree,5,44.878,107.278,3.616,35.766
B+-tree,6,41.920,109.146,3.415,47.907
B+-tree,7,43.825,108.532,5.250,36.653
B+-tree,8,45.507,105.645,5.930,38.641
B+-tree,9,47.602,105.328,3.759,38.987
B+-tree,10,44.258,125.903,3.261,52.884
B+-tree,11,59.099,103.146,6.245,39.388
B+-tree,12,45.229,99.854,3.419,39.619
B+-tree,13,41.715,112.157,3.560,41.156
B+-tree,14,49.447,104.615,3.386,39.305
B+-tree,15,46.613,103.212,3.539,40.594
B+-tree,16,44.138,100.370,3.829,38.228
B+-tree,17,41.934,102.772,4.286,37.678
B+-tree,18,45.946,101.168,3.826,35.163
B+-tree,19,45.118,101.852,5.695,35.669
B+-tree,20,56.280,145.779,3.877,48.995
B*-tree,1,28.129,49.371,2.405,35.001
B*-tree,2,33.818,59.421,2.457,35.144
B*-tree,3,27.647,56.181,2.424,38.185
B*-tree,4,29.685,56.438,2.913,36.506
B*-tree,5,27.703,49.596,2.757,32.610
B*-tree,6,27.072,47.463,2.671,37.327
B*-tree,7,28.031,47.970,3.379,34.068
B*-tree,8,31.283,48.231,2.713,33.903
B*-tree,9,31.268,53.687,2.592,54.425
B*-tree,10,29.531,50.442,2.328,36.278
B*-tree,11,28.297,50.065,2.019,49.555
B*-tree,12,43.080,85.285,3.951,50.094
B*-tree,13,31.596,53.160,2.635,36.826
B*-tree,14,28.963,47.000,1.907,34.455
B*-tree,15,30.690,48.208,1.842,34.322
B*-tree,16,30.146,47.910,3.150,29.172
B*-tree,17,27.233,47.946,2.522,35.619
B*-tree,18,28.589,52.894,3.539,38.365
B*-tree,19,27.131,53.721,2.836,37.196
B*-tree,20,25.717,53.132,2.934,31.905
