tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,32.862,17.251,0.486,27.178
B-tree,2,38.344,18.108,0.562,28.202
B-tree,3,40.052,18.485,0.581,28.306
B-tree,4,36.923,20.592,0.512,25.187
B-tree,5,35.920,21.025,0.598,27.972
B-tree,6,33.576,16.417,0.486,24.962
B-tree,7,34.795,16.678,0.484,25.139
B-tree,8,33.150,17.933,0.571,25.355
B-tree,9,34.431,16.514,0.481,25.265
B-tree,10,33.545,16.764,0.492,25.231
B+-tree,1,39.306,20.836,0.451,27.509
B+-tree,2,41.150,22.071,0.463,27.678
B+-tree,3,45.120,21.546,0.499,27.292
B+-tree,4,34.051,23.838,0.480,29.348
B+-tree,5,40.230,25.929,0.480,33.820
B+-tree,6,41.767,21.921,0.494,28.527
B+-tree,7,33.454,21.570,0.449,27.986
B+-tree,8,36.223,20.064,0.643,27.404
B+-tree,9,39.516,21.012,0.503,24.886
B+-tree,10,37.863,20.414,0.454,27.940
B*-tree,1,110.699,23.314,0.671,33.991
B*-tree,2,90.602,24.293,0.637,28.507
B*-tree,3,110.038,18.720,0.618,24.997
B*-tree,4,90.770,17.471,0.531,22.127
B*-tree,5,95.260,21.838,0.729,29.902
B*-tree,6,87.771,18.221,0.619,25.798
B*-tree,7,98.691,22.903,0.698,27.840
B*-tree,8,93.499,20.771,0.648,28.763
B*-tree,9,104.851,20.524,0.745,35.334
B*-tree,10,98.411,19.150,0.556,28.409
