tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,8.356,9.787,0.315,6.195
B-tree,2,6.673,13.047,0.368,4.351
B-tree,3,7.101,12.246,0.392,4.479
B-tree,4,8.346,10.136,0.354,5.565
B-tree,5,7.440,11.429,0.340,5.041
B-tree,6,6.672,11.611,0.759,4.311
B-tree,7,6.750,13.566,0.351,4.653
B-tree,8,7.118,11.776,0.395,5.261
B-tree,9,6.909,10.914,0.489,4.398
B-tree,10,6.653,13.364,0.329,4.384
B-tree,11,6.997,10.607,0.342,4.907
B-tree,12,7.119,10.568,0.349,4.451
B-tree,13,7.203,10.707,0.374,4.461
B-tree,14,6.715,13.383,0.370,4.257
B-tree,15,7.156,12.053,0.340,6.184
B-tree,16,7.248,11.259,0.360,4.869
B-tree,17,6.816,10.213,0.327,4.465
B-tree,18,7.069,11.373,0.330,6.434
B-tree,19,7.310,10.911,0.354,4.344
B-tree,20,7.147,29.586,0.430,4.395
B+-tree,1,6.720,10.467,0.312,6.999
B+-tree,2,6.556,13.945,0.317,4.756
B+-tree,3,6.617,13.046,0.317,4.091
B+-tree,4,8.124,10.750,0.323,5.064
B+-tree,5,6.440,9.946,0.330,4.529
B+-tree,6,6.968,10.879,0.338,5.524
B+-tree,7,6.466,15.321,0.372,4.320
B+-tree,8,8.106,11.413,0.371,4.906
B+-tree,9,7.014,9.933,0.315,9.665
B+-tree,10,6.582,17.086,0.521,4.237
B+-tree,11,10.621,22.243,0.417,4.370
B+-tree,12,14.448,14.097,0.335,6.850
B+-tree,13,6.331,17.360,0.363,9.371
B+-tree,14,12.444,20.930,0.432,4.247
B+-tree,15,14.790,19.737,0.449,11.222
B+-tree,16,6.752,15.898,0.335,4.896
B+-tree,17,7.712,9.891,0.376,4.378
B+-tree,18,6.630,9.314,0.338,4.042
B+-tree,19,7.401,10.386,0.332,5.128
B+-tree,20,6.640,13.476,0.546,4.294
B*-tree,1,13.587,10.086,0.341,5.316
B*-tree,2,10.191,16.014,0.356,4.069
B*-tree,3,10.497,10.276,0.311,5.170
B*-tree,4,11.802,11.582,0.982,4.958
B*-tree,5,9.724,13.068,0.395,4.265
B*-tree,6,13.773,11.093,0.320,5.102
B*-tree,7,10.131,11.010,0.317,4.271
B*-tree,8,10.535,11.485,0.345,6.253
B*-tree,9,12.871,12.743,0.330,4.266
B*-tree,10,9.931,10.875,0.383,3.998
B*-tree,11,11.463,10.487,0.412,4.717
B*-tree,12,9.754,9.818,0.324,4.406
B*-tree,13,10.102,10.997,0.365,4.452
B*-tree,14,10.419,10.303,0.324,4.525
B*-tree,15,10.170,11.920,0.362,4.089
B*-tree,16,10.238,9.767,0.362,5.095
B*-tree,17,10.021,11.100,0.495,3.976
B*-tree,18,12.289,9.632,0.449,4.837
B*-tree,19,9.863,12.433,0.393,4.386
B*-tree,20,10.014,11.221,0.386,4.362
