tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,15.891,22.808,0.746,14.848
B-tree,2,12.771,21.441,0.910,17.578
B-tree,3,12.231,22.765,0.945,13.128
B-tree,4,15.613,27.680,1.193,22.679
B-tree,5,19.626,40.598,1.277,18.779
B-tree,6,29.671,39.959,1.108,11.009
B-tree,7,11.151,19.535,0.732,12.710
B-tree,8,14.881,31.461,0.794,14.253
B-tree,9,12.312,20.644,2.073,12.372
B-tree,10,18.764,20.258,1.040,13.202
B-tree,11,12.395,24.601,0.881,16.110
B-tree,12,14.734,23.967,1.227,12.527
B-tree,13,11.435,24.141,1.102,16.201
B-tree,14,11.289,24.232,0.828,10.924
B-tree,15,18.423,23.834,1.037,10.647
B-tree,16,11.454,24.124,1.045,11.012
B-tree,17,14.466,26.775,1.143,12.645
B-tree,18,15.984,19.977,0.983,12.071
B-tree,19,18.536,24.282,1.570,11.375
B-tree,20,14.296,22.384,1.040,11.314
B+-tree,1,12.556,31.466,0.858,14.651
B+-tree,2,11.804,28.973,1.259,17.166
B+-tree,3,11.937,23.673,1.362,13.598
B+-tree,4,9.878,32.094,1.240,16.470
B+-tree,5,10.285,26.611,1.075,15.445
B+-tree,6,11.254,35.934,1.393,13.555
B+-tree,7,11.194,32.063,1.036,17.271
B+-tree,8,11.204,27.778,1.117,16.880
B+-tree,9,12.930,32.029,1.254,13.714
B+-tree,10,15.071,27.923,1.298,18.264
B+-tree,11,12.068,25.409,0.879,14.014
B+-tree,12,12.282,33.342,1.364,15.490
B+-tree,13,11.916,29.287,1.027,15.300
B+-tree,14,12.641,30.677,1.519,14.559
B+-tree,15,13.060,54.643,1.267,14.791
B+-tree,16,10.600,27.269,4.091,24.827
B+-tree,17,22.177,43.814,2.793,17.009
B+-tree,18,21.583,45.017,0.882,16.895
B+-tree,19,11.432,28.224,1.319,18.893
B+-tree,20,16.505,24.241,1.522,14.038
B*-tree,1,12.543,26.935,1.353,18.478
B*-tree,2,12.754,22.226,0.797,16.670
B*-tree,3,11.613,23.869,1.092,23.536
B*-tree,4,11.786,25.455,1.085,18.531
B*-tree,5,12.208,23.985,1.159,14.433
B*-tree,6,12.068,21.560,1.194,15.911
B*-tree,7,10.702,23.274,2.446,18.714
B*-tree,8,11.466,30.259,1.107,19.510
B*-tree,9,11.292,22.157,1.128,18.608
B*-tree,10,13.071,24.188,2.343,18.358
B*-tree,11,10.811,26.016,1.127,26.476
B*-tree,12,16.387,29.040,1.474,32.978
B*-tree,13,16.950,29.849,0.829,27.506
B*-tree,14,12.686,23.224,1.325,21.284
B*-tree,15,14.312,25.093,1.186,19.860
B*-tree,16,16.689,28.637,1.403,15.533
B*-tree,17,15.552,28.995,1.365,17.354
B*-tree,18,12.531,24.443,0.850,17.187
B*-tree,19,13.176,28.098,1.633,21.547
B*-tree,20,11.146,26.017,1.153,22.078
