tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,7.747,14.029,1.011,6.520
B-tree,2,7.687,13.803,0.365,4.853
B-tree,3,8.894,12.133,0.348,5.007
B-tree,4,7.969,14.130,0.360,5.064
B-tree,5,7.600,12.256,0.437,4.627
B-tree,6,8.894,11.820,0.537,6.297
B-tree,7,7.865,11.326,0.439,4.515
B-tree,8,9.541,9.762,0.410,4.573
B-tree,9,8.051,11.725,0.345,4.682
B-tree,10,8.247,10.179,0.356,5.053
B-tree,11,8.100,13.401,0.360,4.602
B-tree,12,9.131,11.981,0.386,5.093
B-tree,13,7.794,12.000,0.380,4.618
B-tree,14,8.736,13.089,0.447,4.522
B-tree,15,8.222,12.282,0.330,6.959
B-tree,16,8.364,10.578,0.332,4.568
B-tree,17,8.052,12.531,0.481,7.373
B-tree,18,10.420,9.668,0.324,4.912
B-tree,19,7.709,14.616,0.412,4.559
B-tree,20,8.144,10.549,0.476,4.590
B+-tree,1,8.703,9.679,0.342,8.421
B+-tree,2,7.594,16.968,0.674,5.404
B+-tree,3,9.828,22.635,0.414,5.218
B+-tree,4,12.868,15.937,1.676,5.383
B+-tree,5,10.475,12.225,0.369,6.110
B+-tree,6,7.343,11.802,0.344,4.669
B+-tree,7,8.891,11.465,0.332,4.639
B+-tree,8,7.520,14.223,0.377,5.095
B+-tree,9,7.680,13.087,0.361,4.427
B+-tree,10,8.155,11.845,0.376,5.011
B+-tree,11,7.613,12.104,0.405,4.707
B+-tree,12,7.481,11.984,0.373,4.525
B+-tree,13,9.721,10.108,0.773,7.585
B+-tree,14,7.554,10.504,0.363,4.407
B+-tree,15,7.884,10.657,0.307,4.634
B+-tree,16,8.055,11.439,0.345,4.423
B+-tree,17,8.202,11.423,0.424,5.314
B+-tree,18,7.535,9.051,0.325,4.808
B+-tree,19,7.838,12.124,0.318,4.533
B+-tree,20,8.190,10.170,0.410,5.156
B*-tree,1,11.223,12.735,0.329,5.598
B*-tree,2,11.870,12.847,0.406,4.818
B*-tree,3,11.250,13.102,0.352,4.634
B*-tree,4,11.239,12.031,0.437,7.918
B*-tree,5,11.273,12.770,0.344,5.188
B*-tree,6,11.050,14.300,0.355,4.303
B*-tree,7,13.151,13.261,0.341,4.573
B*-tree,8,12.186,11.541,0.362,4.307
B*-tree,9,13.694,10.180,0.695,5.437
B*-tree,10,10.915,12.559,0.332,4.855
B*-tree,11,10.720,11.973,0.337,5.068
B*-tree,12,10.871,13.129,0.325,4.662
B*-tree,13,11.962,11.672,0.350,6.069
B*-tree,14,10.755,12.950,0.371,4.215
B*-tree,15,12.623,11.372,0.310,4.464
B*-tree,16,11.250,11.748,0.345,4.471
B*-tree,17,11.519,10.990,0.321,4.627
B*-tree,18,11.611,15.702,0.345,4.330
B*-tree,19,11.492,11.509,0.349,4.413
B*-tree,20,11.056,11.422,0.375,4.933
