tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,31.371,12.379,0.638,23.967
B-tree,2,31.946,12.487,0.440,18.017
B-tree,3,33.085,13.179,0.436,19.494
B-tree,4,32.531,15.731,0.454,20.146
B-tree,5,31.238,12.868,0.479,18.514
B-tree,6,32.494,12.676,0.585,20.475
B-tree,7,35.785,14.719,0.497,20.114
B-tree,8,33.669,14.151,0.496,20.696
B-tree,9,34.540,12.785,0.484,20.077
B-tree,10,34.226,13.222,0.464,21.134
B+-tree,1,37.469,12.503,0.401,21.720
B+-tree,2,34.308,13.846,0.467,19.168
B+-tree,3,36.618,12.290,0.400,16.882
B+-tree,4,32.789,12.480,0.419,19.027
B+-tree,5,42.677,12.740,0.423,19.837
B+-tree,6,37.241,13.523,0.403,19.277
B+-tree,7,34.760,13.152,0.410,16.919
B+-tree,8,30.986,12.100,0.408,16.823
B+-tree,9,38.737,14.193,0.411,18.213
B+-tree,10,33.201,12.965,0.437,20.385
B*-tree,1,150.339,12.763,0.495,17.462
B*-tree,2,124.227,11.692,0.456,14.608
B*-tree,3,114.333,12.052,0.430,14.021
B*-tree,4,113.344,12.546,0.464,15.717
B*-tree,5,119.988,12.917,0.440,17.365
B*-tree,6,124.576,14.045,0.455,15.153
B*-tree,7,127.539,13.889,0.559,16.574
B*-tree,8,119.124,15.036,0.502,15.852
B*-tree,9,124.162,16.088,0.500,15.824
B*-tree,10,125.936,13.120,0.483,15.838
