tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,52.024,49.302,1.730,28.980
B-tree,2,56.625,51.559,3.356,25.556
B-tree,3,56.554,54.867,1.707,28.324
B-tree,4,62.262,46.097,1.548,25.571
B-tree,5,53.817,43.499,1.538,23.495
B-tree,6,52.066,45.750,1.578,20.219
B-tree,7,57.476,44.713,1.952,22.705
B-tree,8,53.537,40.605,1.637,23.956
B-tree,9,48.886,74.043,5.736,56.617
B-tree,10,59.597,45.318,2.062,30.436
B-tree,11,55.654,45.574,2.715,20.274
B-tree,12,50.290,45.549,1.604,25.668
B-tree,13,49.094,41.791,2.530,23.113
B-tree,14,52.141,45.710,2.621,21.905
B-tree,15,46.603,48.339,1.842,25.680
B-tree,16,49.354,40.599,3.698,22.851
B-tree,17,55.822,57.788,2.097,28.229
B-tree,18,73.770,56.034,2.554,40.115
B-tree,19,56.683,61.345,2.536,60.830
B-tree,20,93.791,104.035,2.607,30.596
B+-tree,1,93.808,85.162,3.707,45.385
B+-tree,2,94.135,80.304,3.082,35.445
B+-tree,3,94.975,71.041,4.640,33.532
B+-tree,4,88.560,70.996,5.015,34.254
B+-tree,5,80.144,80.580,3.246,32.930
B+-tree,6,79.534,76.426,2.530,31.377
B+-tree,7,77.111,74.234,2.381,35.680
B+-tree,8,85.620,71.621,2.049,32.579
B+-tree,9,96.459,117.229,2.527,31.698
B+-tree,10,83.891,67.085,2.050,33.631
B+-tree,11,79.023,69.874,2.989,37.057
B+-tree,12,75.734,68.388,3.607,37.157
B+-tree,13,81.300,68.898,2.841,33.336
B+-tree,14,77.994,67.127,2.950,37.172
B+-tree,15,77.503,67.522,2.851,33.226
B+-tree,16,78.890,69.913,1.949,33.872
B+-tree,17,81.909,69.572,3.130,31.634
B+-tree,18,75.897,74.491,3.183,34.638
B+-tree,19,82.687,112.460,3.438,84.284
B+-tree,20,85.239,65.097,3.376,37.709
B*-tree,1,78.464,51.053,2.815,34.088
B*-tree,2,79.085,52.164,3.921,30.459
B*-tree,3,68.266,49.643,3.107,32.005
B*-tree,4,76.984,50.220,3.014,29.301
B*-tree,5,74.169,48.753,2.121,32.209
B*-tree,6,72.325,53.024,2.094,31.404
B*-tree,7,70.213,50.433,2.525,30.959
B*-tree,8,69.796,50.029,5.957,69.550
B*-tree,9,104.215,60.532,2.092,32.183
B*-tree,10,74.111,56.499,2.254,31.491
B*-tree,11,69.712,56.525,1.883,30.464
B*-tree,12,68.505,56.889,3.005,40.477
B*-tree,13,66.283,71.432,5.442,34.165
B*-tree,14,77.242,46.949,2.793,44.624
B*-tree,15,127.887,62.291,2.665,35.524
B*-tree,16,73.339,51.243,3.719,34.752
B*-tree,17,74.017,52.089,4.170,31.473
B*-tree,18,81.251,48.359,3.773,33.740
B*-tree,19,88.453,89.518,10.370,55.190
B*-tree,20,225.367,68.973,3.182,45.623
