tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,12.321,12.342,0.501,7.649
B-tree,2,11.458,11.623,0.569,6.523
B-tree,3,12.197,10.745,0.452,6.637
B-tree,4,12.397,12.765,0.456,8.306
B-tree,5,11.359,11.504,0.423,8.487
B-tree,6,12.083,10.947,0.434,7.914
B-tree,7,13.074,10.406,0.446,7.604
B-tree,8,11.279,11.472,0.475,6.642
B-tree,9,13.572,11.170,0.474,7.160
B-tree,10,11.100,11.108,0.450,7.403
B-tree,11,11.616,13.189,0.497,6.400
B-tree,12,11.876,12.566,0.498,6.709
B-tree,13,12.236,12.920,0.515,7.077
B-tree,14,11.688,11.490,0.510,6.505
B-tree,15,12.745,13.761,0.444,6.401
B-tree,16,14.003,11.552,0.463,6.393
B-tree,17,11.264,11.314,0.476,6.374
B-tree,18,11.219,11.137,0.480,6.933
B-tree,19,12.379,11.977,0.585,6.507
B-tree,20,11.203,11.791,0.458,6.822
B+-tree,1,15.895,18.487,0.581,9.775
B+-tree,2,21.970,16.787,0.583,11.227
B+-tree,3,17.551,13.842,0.573,6.993
B+-tree,4,16.062,14.913,0.738,7.772
B+-tree,5,14.470,12.490,0.812,6.710
B+-tree,6,15.017,12.981,0.467,7.035
B+-tree,7,12.724,12.337,0.438,6.234
B+-tree,8,14.424,12.904,0.432,7.718
B+-tree,9,12.627,12.289,0.405,7.471
B+-tree,10,12.335,11.848,0.609,6.354
B+-tree,11,14.539,12.638,0.667,6.900
B+-tree,12,13.668,13.161,0.588,6.229
B+-tree,13,15.750,12.523,0.431,7.156
B+-tree,14,13.099,13.294,1.291,6.756
B+-tree,15,13.370,14.666,0.736,6.365
B+-tree,16,11.577,12.404,0.521,6.218
B+-tree,17,14.387,12.211,0.426,8.533
B+-tree,18,12.290,13.377,0.469,7.632
B+-tree,19,12.124,13.132,0.583,7.133
B+-tree,20,12.269,13.905,0.592,6.828
B*-tree,1,15.982,13.629,0.687,7.733
B*-tree,2,15.152,13.320,0.612,6.513
B*-tree,3,15.843,17.502,0.635,6.365
B*-tree,4,17.959,13.536,0.498,7.865
B*-tree,5,16.402,13.892,0.688,8.355
B*-tree,6,15.200,12.854,0.643,6.873
B*-tree,7,14.544,14.032,0.559,6.774
B*-tree,8,14.973,13.133,1.491,7.833
B*-tree,9,15.498,12.734,0.548,6.711
B*-tree,10,17.518,11.985,0.589,6.491
B*-tree,11,17.855,13.189,0.636,7.468
B*-tree,12,15.633,13.507,0.575,6.616
B*-tree,13,19.349,11.997,0.610,8.972
B*-tree,14,15.080,14.317,0.849,6.535
B*-tree,15,15.804,12.973,0.501,7.003
B*-tree,16,20.198,34.039,0.895,7.244
B*-tree,17,20.038,17.335,0.658,12.495
B*-tree,18,21.911,12.300,0.555,6.559
B*-tree,19,15.588,11.480,0.537,8.261
B*-tree,20,15.775,11.843,1.245,8.420
