tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,36.152,13.445,0.478,21.119
B-tree,2,43.040,13.166,0.451,19.286
B-tree,3,35.666,14.611,0.513,23.211
B-tree,4,36.958,13.038,0.424,19.225
B-tree,5,40.838,13.664,0.740,20.981
B-tree,6,39.999,14.213,0.546,21.767
B-tree,7,39.217,14.398,0.460,24.236
B-tree,8,39.980,13.725,0.445,20.522
B-tree,9,38.178,13.711,0.441,20.170
B-tree,10,38.059,16.396,0.521,23.454
B+-tree,1,42.044,12.937,0.404,20.304
B+-tree,2,37.523,12.954,0.480,20.942
B+-tree,3,39.894,12.763,0.440,19.656
B+-tree,4,41.705,13.727,0.503,21.301
B+-tree,5,43.428,13.712,0.437,20.091
B+-tree,6,44.536,13.712,0.421,19.099
B+-tree,7,42.846,12.394,0.397,19.975
B+-tree,8,42.106,15.655,0.417,20.693
B+-tree,9,40.563,11.931,0.391,18.557
B+-tree,10,37.518,13.981,0.475,19.202
B*-tree,1,147.934,18.103,0.523,26.025
B*-tree,2,147.344,13.301,0.610,16.403
B*-tree,3,210.116,17.832,0.464,17.300
B*-tree,4,152.891,16.506,0.443,22.085
B*-tree,5,147.236,15.782,0.486,18.721
B*-tree,6,148.042,13.973,0.513,17.233
B*-tree,7,138.910,13.495,0.441,16.481
B*-tree,8,130.990,14.044,0.458,17.250
B*-tree,9,143.158,13.750,0.466,17.514
B*-tree,10,138.288,13.627,0.462,16.662
