tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,8.658,10.453,0.444,7.585
B-tree,2,8.637,11.805,0.398,5.262
B-tree,3,10.712,10.137,0.383,5.960
B-tree,4,9.615,15.617,0.488,5.252
B-tree,5,8.494,10.761,0.407,5.893
B-tree,6,8.541,10.371,0.395,5.264
B-tree,7,8.396,9.247,0.365,5.469
B-tree,8,8.467,9.792,0.384,5.133
B-tree,9,9.097,10.155,0.378,5.503
B-tree,10,8.745,12.635,0.404,5.402
B-tree,11,10.941,16.492,0.404,6.019
B-tree,12,14.492,15.155,0.386,9.140
B-tree,13,9.823,13.108,0.426,6.105
B-tree,14,8.655,9.994,0.381,5.185
B-tree,15,9.689,9.492,0.352,5.893
B-tree,16,9.283,10.907,0.407,5.444
B-tree,17,10.162,9.803,0.374,5.092
B-tree,18,9.173,10.725,0.400,5.442
B-tree,19,9.423,17.567,0.439,5.645
B-tree,20,9.848,9.998,0.412,9.454
B+-tree,1,20.049,43.390,0.450,15.994
B+-tree,2,18.886,15.115,0.436,5.251
B+-tree,3,17.455,26.145,0.517,6.793
B+-tree,4,10.336,11.350,0.402,11.312
B+-tree,5,11.704,11.366,0.483,5.701
B+-tree,6,12.282,13.347,0.758,5.091
B+-tree,7,14.047,10.396,0.771,12.989
B+-tree,8,10.649,11.184,0.506,4.960
B+-tree,9,11.257,10.355,0.367,5.160
B+-tree,10,9.038,12.003,0.404,5.825
B+-tree,11,10.788,10.788,0.415,4.842
B+-tree,12,9.557,12.109,0.422,6.596
B+-tree,13,9.200,11.218,0.534,4.786
B+-tree,14,10.525,14.957,0.460,4.993
B+-tree,15,9.519,9.555,0.350,7.193
B+-tree,16,9.447,11.706,0.369,5.325
B+-tree,17,10.870,12.897,0.441,7.012
B+-tree,18,10.429,9.924,0.459,5.532
B+-tree,19,10.500,11.242,0.501,6.030
B+-tree,20,9.409,10.950,0.416,4.892
B*-tree,1,15.521,14.872,0.431,6.485
B*-tree,2,16.046,12.055,0.439,7.670
B*-tree,3,15.314,14.978,0.475,6.224
B*-tree,4,14.752,11.783,0.448,8.546
B*-tree,5,13.464,11.370,0.479,5.233
B*-tree,6,13.418,11.005,0.448,5.201
B*-tree,7,14.662,13.305,0.727,7.478
B*-tree,8,14.169,13.744,0.718,8.515
B*-tree,9,16.215,13.366,1.209,12.015
B*-tree,10,24.048,29.736,0.732,5.627
B*-tree,11,29.799,22.382,0.485,5.441
B*-tree,12,19.290,35.493,0.595,8.214
B*-tree,13,16.479,15.771,0.463,9.063
B*-tree,14,15.159,12.683,0.496,6.177
B*-tree,15,17.268,17.707,0.442,8.051
B*-tree,16,14.433,15.322,0.582,5.717
B*-tree,17,14.481,11.571,0.553,7.383
B*-tree,18,15.431,11.395,0.493,7.072
B*-tree,19,13.500,10.920,0.435,5.756
B*-tree,20,13.937,14.146,0.544,5.571
