tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,12.628,18.247,0.415,7.586
B-tree,2,13.625,19.125,0.382,6.739
B-tree,3,17.951,20.944,0.332,6.788
B-tree,4,18.872,23.333,0.322,10.025
B-tree,5,13.291,15.619,0.300,9.920
B-tree,6,11.128,16.807,0.368,8.641
B-tree,7,11.802,14.747,0.318,6.932
B-tree,8,12.467,16.524,0.380,6.192
B-tree,9,11.366,16.434,0.345,6.075
B-tree,10,11.578,17.693,0.308,6.351
B-tree,11,11.464,15.452,0.310,7.503
B-tree,12,11.525,18.709,0.389,6.422
B-tree,13,13.102,17.806,0.616,6.363
B-tree,14,11.441,16.257,0.290,6.333
B-tree,15,11.342,16.728,0.333,7.894
B-tree,16,11.245,16.608,0.348,7.763
B-tree,17,11.087,20.398,0.336,7.286
B-tree,18,11.287,15.112,0.307,6.119
B-tree,19,12.145,16.388,0.309,7.106
B-tree,20,11.989,15.811,0.307,6.229
B+-tree,1,13.945,18.685,0.301,8.406
B+-tree,2,10.725,14.905,0.281,6.221
B+-tree,3,12.024,16.330,0.315,6.297
B+-tree,4,12.744,18.504,0.331,6.750
B+-tree,5,11.043,16.102,0.285,6.463
B+-tree,6,11.831,15.691,0.489,6.455
B+-tree,7,11.709,16.228,0.292,6.257
B+-tree,8,11.406,16.152,0.280,6.514
B+-tree,9,11.327,16.182,0.383,6.422
B+-tree,10,11.539,17.011,0.342,6.410
B+-tree,11,11.610,17.811,0.292,6.433
B+-tree,12,12.584,16.043,0.281,6.472
B+-tree,13,11.404,17.474,0.344,6.444
B+-tree,14,11.777,16.346,0.420,7.297
B+-tree,15,11.955,17.497,0.316,6.610
B+-tree,16,14.311,17.879,0.304,6.465
B+-tree,17,11.407,15.936,0.309,6.294
B+-tree,18,13.169,16.052,0.298,6.225
B+-tree,19,11.378,16.216,0.282,6.669
B+-tree,20,12.803,17.982,0.277,7.022
B*-tree,1,18.319,15.488,0.284,7.044
B*-tree,2,18.390,18.716,0.341,5.886
B*-tree,3,19.378,16.230,0.299,7.431
B*-tree,4,17.162,17.549,0.285,7.230
B*-tree,5,18.030,16.502,0.327,6.273
B*-tree,6,21.284,18.457,0.360,5.908
B*-tree,7,19.723,16.123,0.372,6.358
B*-tree,8,16.426,15.403,0.328,6.325
B*-tree,9,16.488,16.904,0.366,6.542
B*-tree,10,17.594,16.421,0.290,6.091
B*-tree,11,17.710,16.758,0.343,6.402
B*-tree,12,18.062,18.200,0.299,6.602
B*-tree,13,27.936,21.186,0.348,6.070
B*-tree,14,21.499,21.789,0.320,15.033
B*-tree,15,23.929,23.734,0.297,9.856
B*-tree,16,19.036,15.873,0.306,5.915
B*-tree,17,17.461,15.623,0.918,7.348
B*-tree,18,18.977,16.864,0.358,6.158
B*-tree,19,16.362,19.334,0.317,5.914
B*-tree,20,17.974,16.104,0.297,6.729
