tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,9.146,14.426,0.348,5.899
B-tree,2,9.401,12.298,0.325,5.448
B-tree,3,10.283,12.495,0.299,4.814
B-tree,4,9.551,12.048,0.310,5.222
B-tree,5,8.671,15.820,0.398,5.088
B-tree,6,9.455,11.324,0.343,5.258
B-tree,7,8.941,12.356,0.287,5.184
B-tree,8,10.872,12.379,0.280,5.343
B-tree,9,10.035,11.694,0.298,4.855
B-tree,10,8.894,13.129,0.319,5.578
B-tree,11,9.118,11.564,0.292,5.101
B-tree,12,9.149,11.948,0.307,5.424
B-tree,13,9.802,11.884,0.310,4.903
B-tree,14,9.618,11.972,0.302,5.315
B-tree,15,9.247,13.666,0.299,4.912
B-tree,16,9.206,12.017,0.313,7.672
B-tree,17,10.684,12.850,0.331,5.361
B-tree,18,9.034,12.006,0.299,4.982
B-tree,19,9.030,11.543,0.297,5.357
B-tree,20,9.220,13.098,0.293,5.238
B+-tree,1,9.322,14.952,0.357,8.020
B+-tree,2,9.085,12.869,0.284,5.158
B+-tree,3,9.360,12.480,0.311,4.896
B+-tree,4,10.488,14.993,0.303,4.738
B+-tree,5,8.410,14.411,0.323,5.036
B+-tree,6,9.015,13.264,0.357,4.935
B+-tree,7,8.732,14.096,0.318,4.965
B+-tree,8,10.358,12.390,0.377,4.836
B+-tree,9,8.650,11.087,0.279,4.871
B+-tree,10,9.193,11.868,0.297,5.246
B+-tree,11,8.893,14.132,0.318,4.775
B+-tree,12,9.014,11.096,0.317,4.901
B+-tree,13,9.018,10.803,0.271,5.751
B+-tree,14,9.793,11.759,0.278,5.332
B+-tree,15,9.076,15.360,0.284,5.106
B+-tree,16,9.524,11.525,0.312,5.276
B+-tree,17,9.004,11.731,0.272,5.070
B+-tree,18,9.263,11.640,0.298,4.891
B+-tree,19,9.144,14.234,0.285,4.797
B+-tree,20,9.336,13.099,0.362,4.966
B*-tree,1,14.569,12.888,0.290,8.195
B*-tree,2,14.127,14.793,0.292,5.511
B*-tree,3,14.348,15.389,0.315,4.930
B*-tree,4,15.066,14.901,0.443,8.689
B*-tree,5,14.242,12.919,0.324,4.905
B*-tree,6,13.842,13.292,0.312,5.151
B*-tree,7,13.656,16.675,0.380,5.135
B*-tree,8,14.484,13.408,0.302,5.049
B*-tree,9,13.386,13.959,0.310,5.442
B*-tree,10,13.100,15.789,0.312,5.897
B*-tree,11,13.405,14.113,0.318,5.352
B*-tree,12,13.655,13.576,0.319,5.457
B*-tree,13,14.052,13.939,0.316,4.995
B*-tree,14,14.763,13.455,0.294,5.310
B*-tree,15,14.521,13.254,0.320,5.216
B*-tree,16,13.298,13.549,0.301,6.085
B*-tree,17,12.894,14.578,0.315,5.417
B*-tree,18,14.324,16.530,0.362,5.214
B*-tree,19,13.459,14.579,0.303,4.890
B*-tree,20,13.579,13.894,0.282,4.883
